and i think that's where we are .	我認為那就是我們在的地方 。
and we see the mother in every being .	我們看到每一位母親 。
and finally , dogmatism .	最後 , 狗主義 。
ab: and what month ?	亞伯斯:還有什麼月 ?
instead , we spend our time talking .	反而 , 我們花時間談話 。
we made this game in 2007 .	我們在2007年做了這個遊戲 。
so it's time for change .	改變是時候了 。
we can push through that .	我們可以把這些推進去 。
somebody else has a design for it .	其他人還有一個設計 。
it is a biological computer .	這是生物電腦 。
so , that's the system .	這就是這個系統 。
it's a ways out still .	它仍然是如此 。
it's cumulative .	它是累積性的 。
it is time to scale this up .	該大規模擴大了 。
she had to look like a man .	她必須像個男人一樣 。
or did you get fired up ?	或者你被打開了嗎 ?
" please , help me .	「 拜託 , 幫我 。
what would it take to change that ?	它需要什麼改變呢 ?
and some came from england .	有些人來自英國 。
they seemed to speak to me .	他們似乎對我說話 。
zabalaza .	zabalza 。
pay up , because we did it .	付錢 , 因為我們這麼做了 。
you really can make this change happen .	你真的可以做出改變 。
a voodoo experiment .	投票實驗 。
there was no way they could win .	他們沒有辦法贏得 。
and we get a lot of that .	我們得到了很多 。
you overcompensate .	你克服昂貴 。
there's still time to lead .	仍然有時間領導 。
so here is normal speed .	這是正常的速度 。
i'm only kidding .	我只是開玩笑 。
so it was all about the data .	重點是數據 。
but i will do a trial .	但我會做個試驗 。
it is a chess game .	這是一個教堂遊戲 。
it is also unstable .	它也無法做到 。
earth is having a fever .	地球有一條很棒的 。
you should have started with z .	你應該從z開始 。
why would they cooperate ?	為什麼他們會合作呢 ?
his vision was pretty poor .	他的願景非常貧窮 。
there are two general types .	有兩種類型 。
now , here's the story .	現在 , 這是故事 。
that means we can do it again .	這意味著我們可以再做一次 。
really expedites the process .	探索這個過程 。
what would we think of ourselves then ?	那我們會想到什麼呢 ?
and we need to train them right .	我們必須訓練他們對 。
this is the view from the inside .	這是內部的景象 。
and i remember the first letter .	我記得第一封信 。
maybe some of them are here now .	也許有些人現在在這裡 。
it's not just another day .	不僅是另一天 。
the first step is attention training .	第一步是注意力訓練 。
you know who else is doing that ?	你們知道誰在做這件事呢 ?
ks: yay !	kay:y !
some shots go through quickly .	有些射擊很快 。
poaching oh , no way .	教導喔 , 沒辦法 。
sixtyfive . wow .	六十五歲 。 哇 !
we still use heparin today .	今天我們仍然使用公園 。
imagine that you run a cafe .	想像一下你跑了一杯咖啡 。
he went out and did an experiment .	他出去做了一個實驗 。
congratulations .	恭喜 。
let me tell you who i am .	讓我告訴各位我是誰 。
this is one tough robot .	這是一個艱難的機器人 。
there were two lines in it .	其中有兩條線 。
actually , no , there are three .	事實上 , 其實沒有三種 。
many want to be part of this .	很多人想要成為其中之一 。
they cannot prevent this .	他們無法預防這一點 。
will he be able to be normal ?	他能正常嗎 ?
or even a little bit like this ?	甚至有點像這樣嗎 ?
we all have to lead the change .	我們都必須領導改變 。
titus was so bitter .	蒂蒂蒂絲很小 。
this is what it looks like .	這就是它的樣子 。
you can be that great generation . "	你可以是那個偉大的世代 。 」
maybe you saw discomfort .	也許你看到不舒服 。
it wasn't even out yet .	還沒出來 。
so dina , this is amazing .	狄娜 , 這真是太棒了 。
to me , that represents hope .	對我來說 , 這代表希望 。
surfaces can become porous .	表面很普遍 。
and so was darwin .	所以是達爾文 。
nm: uh , sure .	娜:嗯 , 當然 。
he speaks english .	他說英文 。
and that's a simple question .	這是一個簡單的問題 。
the second thing is video games .	第二件事是電玩遊戲 。
and so it should be with us .	所以應該和我們一起 。
why do we want to do this ?	我們為什麼要這樣做呢 ?
as it did in spain .	當它在西班牙做過 。
it was a historical day .	那是歷史性的一天 。
you can use it at ted .	你可以在ted使用它 。
so what the hell was that ?	所以 , 山丘是什麼呢 ?
they were always best in class .	他們總是在課堂中最好 。
idea number three is listening .	第三個想法是聆聽 。
pretty amazing , huh ?	很驚人的 , 哈囉 ?
now , they are leaders .	他們是領導者 。
cities are learning from each other .	城市互相學習 。
probably , like , none .	可能不會這樣 。
but he did have one thing .	但他做了一件事 。
how many children did you have ?	你有多少孩子 ?
i document dreams .	我紀錄夢想 。
i became a parent .	我成為一個父母 。
what kind of world is this ?	什麼樣的世界呢 ?
not very well at all .	完全不太好 。
and no one got killed .	沒有人被殺了 。
they felt empowered .	他們感到強大 。
it's an old idea .	這是一個古老的想法 。
now , why does this happen ?	為什麼會這樣呢 ?
they become building steel .	他們變成了鋼鐵 。
we need to believe in ourselves .	我們必須相信自己 。
so let's do that .	讓我們這樣做吧 。
and roger helped me .	羅傑協助我 。
that's the key thing .	這就是關鍵的事情 。
it all sounds the same .	聽起來都一樣 。
it's a new experience .	這是一個新的經驗 。
but you can do other things .	但你可以做其他事 。
and lots of people watch .	很多人看著 。
she's gone . "	她走了 。 」
what percentage of the time ?	什麼時候的比例呢 ?
i'm kidding .	我正在開玩笑 。
this is nine of them .	這是其中九個 。
that would be a beautiful thing .	那是個美麗的東西 。
they cross over .	他們跨越了 。
and it's pretty simple .	很簡單 。
they don't feel different .	他們感覺不一樣 。
that's actually not true .	這其實不是真的 。
so that's our job .	這就是我們的工作 。
that leaves this white space .	那個白色空間 。
" all right . ok . "	「 好吧 ! 好吧 ! 」
who do you think you are ?	你認為你是誰 ?
how do we create public space ?	我們要如何創造公共空間 ?
most parents would find that great .	大部分的父母會發現那很棒 。
most of them work for companies .	他們大部分都為公司工作 。
i do , in any case .	任何情況下 , 我都做過 。
and almost every state has one .	幾乎每個州都有一個 。
who do you run away from ?	你從哪裡跑出來 ?
i know they care a lot .	我知道他們在乎很多 。
they can cost you a lot .	他們可以花很多錢 。
we stop ourselves from doing things .	我們阻止自己做事 。
that plan has worked thanks .	那個計劃已經成功了 。
sometimes they agree .	有時他們同意 。
stop running around starving .	停止尋找 。
he played . he won .	他玩了 。 他贏得了 。
we live in the world together .	我們一起生活在世界 。
ca: thank you so much .	克里斯:謝謝 。
not quite ten percent .	不是百分之十 。
it's between buildings .	它是建築物之間的 。
they were very friendly .	他們很友善 。
it has sensors .	它有感應器 。
and everyone was doing the same .	大家都做同樣的事 。
i totally lost it .	我完全失去了它 。
what do you bring to it ?	你要帶給它什麼 ?
i've lost that count .	我失去了那個數字 。
" did you hear me ? "	「 你聽到我嗎 ? 」
her name i did not know .	她的名字不知道 。
five million people have taken it .	五百萬人已經採取了它 。
and we are considered less .	我們被認為比較少了 。
the present you is hopeful .	你希望 。
it was in italy .	它在義大利 。
and it has more notes .	它有更多的音符 。
countries are going underwater .	國家正在水下 。
and you get something like this .	你得到像這樣的東西 。
because it's easy .	因為很簡單 。
we can fly around them .	我們可以在周圍飛行 。
the ocean is everything else .	海洋是其他東西 。
that's the end .	這就是終點 。
which really bothers me .	這真的讓我感到困擾 。
that is how we live .	這就是我們生活的方式 。
so there we have it .	所以我們有了它 。
i had to step down .	我必須走下去 。
now you have another choice .	現在你有另一個選擇 。
and i believe there is .	我相信有 。
i hope , i believe .	我希望 。
now , something else happened .	現在 , 其他事情發生了 。
this is what we believe .	這就是我們所相信的 。
and we continue to build .	我們繼續建造 。
that's not true .	這不是真的 。
he nodded .	他放棄了 。
it's not easy .	這並不容易 。
that , i am not .	我不是這樣 。
this is seaweed .	這是海草 。
thank you . thank you .	謝謝 。 謝謝 。
thank you very much .	非常感謝
thank you very much .	非常感謝
thank you so much everyone .	謝謝
here's the first .	這是第一個 。
i turn around . . .	我轉身 。
thank you very much .	非常感謝
so that is a fact .	這就是事實 。
thank you very much .	非常感謝
here's his solution .	這是他的解決方案 。
your mental health ?	你的心理健康嗎 ?
why ? he made you .	為什麼 ? 他讓你成為你 。
i thought they were fun .	我以為他們很有趣 。
sometimes you will trip .	有時候你會嘗試 。
for example , personality .	舉例來說 , 個人性 。
again , see number one .	同樣地 , 看到一個數字 。
" should we be there ?	「 我們該在那裡嗎 ? 」
more complex interiors .	更複雜的內部 。
this week ? last week ?	這星期 ? 上週 ?
we have to end this .	我們必須結束這點 。
i never saw his face .	我從來沒有看過他的臉 。
there were still fishes .	仍然有魚 。
ella is stuck .	艾拉被困住了 。
be us , be we .	身為我們 。
think about cpr .	想想cpr 。
how do you even start ?	你要如何開始呢 ?
how do we do that ?	我們該怎麼做呢 ?
" the business is on .	「 企業正在上台 。 」
we have done it before .	我們以前做過這件事 。
where did this all begin ?	這一切從何開始 ?
dana: that way .	丹娜:這樣的方式 。
so what could this mean ?	這意味著什麼呢 ?
so curiosity .	所以好奇心 。
and we did good . "	我們做了好事 。 」
so step one . . .	一步 。
question for you , though .	然而 , 你的問題是 。
and what do you say ?	你說什麼呢 ?
are we not children ?	我們不是孩子 ?
so where are they ?	所以他們在哪裡 ?
we married .	我們結婚了 。
we all have problems .	我們都有問題 。
was that computer music ?	那是電腦音樂嗎 ?
but that is great .	但那很棒 。
thank you so much .	謝謝
don't tell .	別說 。
you can see this .	你可以看到這個 。
it's not .	不是 。
let’s go .	讓我們去吧 。
feeding time .	餵食時間 。
i like being happy .	我喜歡快樂 。
pretty good , right ?	非常好吧 ?
the body is political .	身體是政治 。
maybe even deeply .	也許更深入 。
one was jason .	一個是jonson 。
it was pretty hard .	非常困難 。
make it bigger .	讓它變得更大 。
my work thanks .	我的工作感謝 。
what would i feel ?	我有什麼感覺 ?
we can't .	我們不能 。
little line down there .	小線就在那邊了 。
we have both .	我們兩者都有 。
there it is .	那裡有 。
this is important .	這很重要 。
have sex .	性別有性 。
nothing at all .	完全沒有 。
they helped .	他們協助了 。
they saw everything .	他們看見了一切 。
it really is .	真的是這樣 。
i made this .	我做了這個 。
doctor: now ?	醫生:現在呢 ?
but many die .	但很多人死亡了 。
open up now .	現在開放了 。
yes , more .	是的 。
something stronger ?	更強壯的東西呢 ?
then another thing .	另外一件事 。
thank you .	感謝 。
thank you .	感謝 。
thank you .	感謝 。
thank you .	感謝 。
thank you .	感謝 。
thank you .	感謝 。
thank you .	感謝 。
thank you .	感謝 。
thank you .	感謝 。
thank you .	感謝 。
thank you .	感謝 。
thank you .	感謝 。
thank you .	感謝 。
thank you .	感謝 。
thank you .	感謝 。
thank you .	感謝 。
thank you .	感謝 。
thank you .	感謝 。
thank you .	感謝 。
deny .	否認 。
grouper ?	團體呢 ?
fear not .	恐懼不是 。
hi everybody .	嗨 。
shy ?	羞辱嗎 ?
but why ?	但為什麼呢 ?
thank you .	感謝 。
thank you .	感謝 。
you know ?	你知道嗎 ?
thank you .	感謝 。
thank you .	感謝 。
thank you .	感謝 。
thank you .	感謝 。
thank you .	感謝 。
thank you .	感謝 。
no .	沒有 。
right ?	對吧 ?
right ?	對吧 ?
order .	秩序 。
right ?	對吧 ?
right ?	對吧 ?
the idea of the good country is basically very simple .	好的國家基本上很簡單 。
or rather , we get educated out of it .	反而 , 我們被教育出來 。
he loved intellectual battle .	他喜歡智慧蝙蝠 。
rap , of course , rap freestyle .	拉普 , 當然 , 拉普自由 。
arthur samuel knew strategy .	亞瑟·薩姆爾知道策略 。
and i learned a whole bunch of really interesting stuff .	我學到很多有趣的東西 。
but journalism isn't dead .	但記者並不是死去 。
this wasn't invented recently .	這不是最近發明的 。
and so that seemed sufficiently interesting .	這似乎很有趣 。
but look at all the electrodes around it .	但看看周圍所有的電極 。
i'm going to give you just two examples today .	今天我要舉兩個例子 。
and so this is something that we should be able to design .	這就是我們應該設計的東西 。
most of our planet is in eternal darkness .	我們地球上大部分都是永恆的黑暗 。
it's good for improving people's lives .	改善人們的生活是好事 。
so i'd like to think it was a good sign .	所以我想說它是個好標誌 。
but it doesn't happen automatically .	但它不會自動發生 。
it doesn't have to be always dissection .	這不一定是不一定要分心 。
so here we're looking from the south , look north .	我們從南方看 , 看看北方 。
clouds are blocking the view .	雲朵正在阻擋這個觀點 。
that is why millions of people doodle .	這就是為什麼數百萬人懷疑 。
this is the storage system that he designed .	這是他設計的儲存系統 。
you also have this idea for bicycles .	你也對自行車有這個想法 。
of course , these are extreme examples .	當然 , 這些都是極端的例子 。
looked like a ladybug , right ?	看起來像個女士 , 對吧 ?
well , what did i do when i was a kid ?	當我還是個孩子時 , 我該怎麼做 ?
scientists tell us that vaccines are safe .	科學家告訴我們疫苗安全 。
it can hear , it holds memories .	它可以聽見 , 它有記憶 。
the same thing happens when you get something spinning .	同樣的事發生了 。
the bridge was far too flexible .	橋樑太彈性了 。
now we're talking the potential for real change .	現在我們談到真正改變的潛力 。
i basically force people to tell me what they think .	我基本上強迫人們告訴我他們認為的是什麼 。
we have some serious work still to do .	我們還有一些嚴肅的工作 。
what matters is that there are a lot of them .	重要的是 , 他們有很多 。
the first pattern always kind of shocked me .	第一個模式總是讓我震驚 。
we've covered purpose already .	我們已經覆蓋了目的 。
but the bubble doesn't last long .	但泡泡不會長久 。
so here's another few people trying it out .	這裡還有幾個人試過它 。
and this is doug engelbart .	這是douggbart 。
this is a hotel in bolivia .	這是波利維亞的飯店 。
and bell then goes on to explain to the students .	接著 , 接下來要向學生解釋 。
i have a prescription for you .	我對你們有預言 。
and someone sits down and draws a picture .	有人坐下來 , 畫一張照片 。
i was awakened once during the night .	晚上我醒來了一次 。
it's right here , let's use it .	在這裡 , 讓我們使用它 。
the second lesson i learned is about harmony .	我學到的第二課是關於和諧 。
i'm trying , i'm trying .	我正在嘗試 , 我正在嘗試 。
that's not what we're talking about .	這不是我們在談的 。
and this was an inspiration to me .	這是我靈感的靈感 。
best of all , images . just a simple image .	最棒的是影像 。 只是一個簡單的圖片 。
and it was the same everywhere . . .	到處都一樣 。
well , the clerks are the computers .	標籤是電腦 。
but it just isn't changing fast enough .	但它不夠快速改變 。
compassion is going to be limited .	同情心會受限 。
well there's an answer that many people would give .	有很多人會提供的答案 。
and i think they’re breathing .	我認為它們正在呼吸 。
only the best ones can survive .	唯一能存活下來的人 。
but hey , we're on ted time .	但嘿 , 我們在ted的時候了 。
they cannot deal with multiplicity .	他們無法處理多重性 。
they want to do it , too , and they can .	他們也想做這件事 , 他們也可以 。
we're even doing this on purpose .	我們甚至在做這件事 。
and what you need to do is listen to your body .	你需要做的是聽你的身體 。
the rebels be rockin' .	叛軍是羅克林的 。
would you call out your answers , please ?	你會叫出你的答案 , 拜託嗎 ?
that hurts me just to look at .	那讓我感到痛苦 。
so again , that was a real good match .	同樣地 , 這是一個真正的配偶 。
we are the ones who share the stories online .	我們是網路上分享故事的人 。
what's actually the scope of the problem ?	問題其實是什麼呢 ?
we don't have time to waste for that .	我們沒有時間浪費它 。
this would be truly incredible .	這真是太棒了 。
and he was very , very sorry .	他很抱歉 。
but i'm not here to talk about music today .	但今天我不是來談音樂 。
this is a worldchanging invention .	這是一個改變世界的創新 。
i promise , you'll love it .	我承諾 , 你會愛它 。
how did you make all these people pay for music ? "	你要如何讓這些人付錢給音樂 ? 」
or maybe you see a topless sunbather .	或者你看到一個無名的太陽氣象 。
so you go to the doctor and get some tests .	所以你去看醫生 , 得到一些測試 。
sk: it's really awful .	皮膚:很糟糕 。
everything is about your town , where you live .	你住的地方 , 所有東西都有關你的城鎮 。
and we knew that we were losing co2 .	我們知道我們失去二氧化碳 。
and boy , they were like , " what ? why ?	他們說: 「 什麼 ? 為什麼 ?
i mean , i could tell you hundreds of them .	我的意思是 , 我可以告訴你數百個 。
pain is something that can make your life miserable .	痛苦可以讓你的生活變得糟糕 。
more money , less drugs . hmm .	更多的錢、少量的毒品 。
they put it in albany rather than new york .	他們把它放在阿巴尼 , 而不是紐約 。
of your team , only hedge can fit .	你的團隊只有海吉可以適應 。
stairs add enormous drama .	樓梯很大的戲劇 。
the potential gains here are enormous .	這裡有很大的潛力賭注 。
have you ever been approached by strangers ?	你曾經被陌生人接觸過嗎 ?
this piece could fire a shell every four seconds .	這件作品每四秒鐘都能發出一顆殼 。
in angola or afghanistan .	在亞哥拉或阿富汗 。
that's the pantheon next to it .	這就是它旁邊的慌張 。
but soon we realized we were novices .	但很快我們意識到我們沒有見證 。
i'm not diego rivera or something .	我不是演算法的理性 , 或某樣東西 。
and already today this is 25 , 000 images .	今天已經有25 , 000張圖片 。
clearly , i need to walk home from ted .	很顯然 , 我需要從ted走回家 。
so you're going to miss the earth again .	所以你再次消失地球 。
no ? yes ? doesn't matter , it worked .	不是嗎 ? 沒關係 , 很有效 。
and perhaps in life , movements get better through learning .	也許在生命中 , 運動變得更好 。
i also know what i hope for for our girls .	我也知道我對我們的女孩的希望是什麼 。
so let's talk for a moment about race .	讓我們來談談種族 。
they didn't want to buy his bread .	他們不想買他的麵包 。
so i say: share your truths .	所以我說:分享你的真相 。
and you know what ? it's just the beginning .	你知道嗎 ? 只是開端 。
i don't think we have to make that choice .	我不認為我們必須做這個選擇 。
the net of spies was really broad .	脊椎的網絡非常廣泛 。
and i had an armored organization at that point .	那時我有一個軍隊組織 。
and he answered me , and it was pretty interesting .	他回答了我 , 非常有趣 。
now the amount of contraction is easy to control .	現在的矛盾很容易控制 。
it was a really extraordinary moment .	這是個很棒的時刻 。
but no vehicles will need oil .	但沒有汽車需要石油 。
dna and clinical data is the food .	dna和臨床數據是食物 。
that's social . let's look at education .	這就是社會 。 讓我們看看教育 。
if not in yours , your children's lives .	如果不在你身上 , 你的孩子的生活 。
and it is a really weird thing to do .	這真的很奇怪 。
so is every part of her body , for that matter .	所以 , 她的身體每一部分都很重要 。
mentor: he had nowhere to hide .	男士:他已經躲藏到哪裡了 。
i would do it all over again if i could . "	如果我能再次做一次 。 」
i thought the looters had stolen everything .	我以為那根路人已經偷走了所有東西 。
and what would you do if you knew what i know ?	如果你知道我知道什麼呢 ?
yes , they chose a cartoon , ok ?	是的 , 他們選擇了漫畫 , 好嗎 ?
however , there is ample cause for hope .	然而 , 有希望 。
it's perhaps because we expect it to be easy .	也許是因為我們期待它很容易 。
but once you're up , it's great .	但一旦你升起 , 很棒 。
new ways of making electric transportation .	新方法使電動運輸 。
but let's back up: what is fat ?	但讓我們回到:什麼是脂肪 ?
anyone can become a bitcoin miner .	任何人都可以成為一個微薄的礦工 。
what did you see there and what did you do there ?	你看到了什麼 ? 你在做什麼 ?
and you should see me during the match .	你們應該在配偶中看到我 。
he said there's just not in demand .	他說 , 在要求中沒有 。
number five: entrepreneurship .	第五:企業家 。
it's beautiful and it's functional .	很漂亮 , 而且它是功能性的 。
it's really pretty remarkable .	這真的很棒 。
now this is statistically impossible .	這是統計上不可能的 。
i will explain briefly what this is .	我會簡單說明這是什麼樣子 。
try again . try again: snow .	再試一次 。 再試一次:雪雪 。
we dropped the sandwiches .	我們掉了三明治 。
albert hands me the knife .	阿伯特的手給我 。
i didn't show you how to do that .	我沒有向各位展示如何做這件事 。
we were attacking the wrong driver .	我們攻擊錯誤的駕駛者 。
and we were able to have a community meeting .	我們能夠有社區會議 。
you don't have enough experts .	你沒有足夠的專家 。
but we also have stars and things as well .	但我們也有恆星和事物 。
and , of course , bad for me personally .	當然 , 對於我個人來說 , 很糟糕 。
they are highly unpredictable .	他們很不可思議 。
and i will give you several examples .	我會給你們幾個例子 。
and we're just playing here , right ?	我們只是在玩這個 , 對吧 ?
it was even taxdeductible .	它甚至是可用的 。
here's a last exercise .	這是最後一個練習 。
because they know that she needs to heal .	因為他們知道她需要治癒 。
and so the senate won in the end .	最後 , 參議院贏了 。
bf: sevenclub juggling .	bf:7ccb.jub:
a student missed 18 .	一個學生錯了18歲 。
and that is the question we need to ask ourselves .	這就是我們需要問自己的問題 。
rm: ok , here we go , ok .	馬:好吧 , 我們來吧 , 好吧 。
we can't put humans in the water .	我們不能把人類放在水裡 。
he named it homunculus .	他稱之為 「 同性戀 」 。
and it was a huge success .	這是個很大的成功 。
look at the client base for this .	看看客戶基地 。
so i'm surprised .	我很驚訝 。
and people would come in and learn more about it .	人們會進來 , 學習更多 。
it's almost like a reflex .	幾乎就像反射 。
but it doesn't have to be that way .	但不需要這樣做 。
it's going to be machinereadable .	它會是機器可傳播的 。
what exactly are they experiencing ?	他們在經歷什麼呢 ?
second is technical assistance .	第二個是技術輔助 。
heroes like making speeches .	英雄像製造演說一樣英雄 。
but humans weren't always like this .	但人類並不總是這樣 。
and it was gut wrenching .	槍枝正在發動 。
however , there's a catch .	然而 , 有一隻貓 。
and these are also chemical factories .	這些也是化學工廠 。
we can actually see a human pulse .	我們可以看見人類的脈搏 。
and then we need to consume less .	然後我們必須減少消費量 。
you've forgotten me forever .	你永遠忘了我 。
so , i have a strange career .	所以我有個奇怪的職業 。
make it go away . make it go away . "	把它丟掉了 。 把它丟掉了 。 」
i'm so sorry to say that .	我很抱歉 。
he said , " it's a what ? "	他說: 「 這是什麼 ? 」
i call it my freedom staff .	我稱之為我的自由工作 。
here i am in my fourthgrade class .	這是我四年級的學生 。
try and build a political settlement first .	首先 , 建立一個政治場合 。
we have to tell them that the culture has changed .	我們必須告訴他們文化已經改變了 。
but not all types of movement are allowed .	但不是所有的動作都被允許 。
there are two billion young people between 15 and 30 .	在15到30歲之間有2億個年輕人 。
well what they found was mislabeled fish .	他們發現的魚是錯誤的 。
what percentage do you think switched ?	你認為轉換的比例是什麼 ?
