i want to leave you with one last thought .	我想要留給你們一個想法 。
" yeah , both my parents are black .	「 嗯 , 我的父母是黑人 。
you had to do everything to get your phone .	你必須要做什麼事 。
what do you want your life to look like ?	你想要做什麼 ?
the other is obviously a computer mouse .	另一方面是電腦博物館 。
and you might save a ton of money .	你可能會拯救錢 。
and charles started not liking that .	克里斯開始沒有限制 。
wikipedia changed the world , too .	尼亞改變世界 , 太多了 。
let me show you what it looks like .	讓我給你們看 , 看起來像這樣 。
jc: it makes perfect sense to me .	約翰:讓我很美好 。
the question is: how do we do it ?	問題是:我們怎麼做 ?
is migration really a choice ?	真是選擇嗎 ?
mb: i know , i know .	貝爾:我知道 。
this is a season of grace .	這是一張圖片 。
we call those pulsars .	我們稱這些目標為 「 聰明 」 。
anyone here want to be paid well ?	這裡沒有人想要做嗎 ?
how many followers have i gained ?	有多少兩條條線嗎 ?
and this is the first stop along the line .	這是第一個停止線線 。
so multilateralism works .	穆斯林主義工作 。
here comes the crazy moment .	這裡有個瘋狂時刻 。
and i think that's where we are .	我認為這是我們所做的 。
east to west , right ?	對我們來說 , 對吧 ?
we tried to understand how we can help .	我們試著了解我們如何幫助我們 。
so they would go and build huge structures .	所以他們會去建造巨大的結構 。
is that a difficult position for you ?	這是你嗎 ?
well today , this is only a year later .	今天 , 這只是一年後 。
it doesn't have a name yet .	這不是一個名字 。
it has weeping water right now .	現在 , 現在有水 。
they figure there must be more to it .	他們認為有更多的目標 。
and we're going to walk in .	我們要走進 。
people applaud in delight .	人們在螢幕上 。
the female is flightless .	雌雌性是很不起的 。
the second thing is , the health issue .	第二件事是 , 健康問題 。
the other , in nuances .	另一方面 , 營養 。
the negatives are gone .	鄰居是目標 。
len is an introvert .	克里斯是一場災難 。
so it allows it to roll .	所以它允許它 。
do you know what i wanted to be ?	你們知道我想要做什麼 ?
the mission didn't work .	錯誤不行 。
he'd been tortured .	他被教練 。
i ran through the numbers myself .	我把數量放在數字上 。
but it cannot do it alone .	但它無法做到 。
but that , too , is not enough .	但這也不夠了 。
this is the warp and weft .	這是戰爭和軟體 。
we opened women's learning center .	我們打開女性學習中心 。
and it uses no fuel .	它使用了燃料 。
they , too , are doing great work .	他們也太棒了 。
this is him on the screen .	這是他在螢幕上 。
and there's the sheep .	還有她 。
so this is how you vote .	所以這是你演化的 。
so i couldn't handle it .	所以我無法用它來做 。
number three: property rights .	第三個:正確的權利 。
these are absurdities .	這些是社區 。
the same is true of the political field .	同樣的是政治領域 。
do you have a ring as well ?	你有聊天嗎 ?
there's more that can be done .	這樣可以做到 。
well , consciousness . "	好 , 意識到: 「 真相 。 」
but then i started to realize something .	但後來我開始了解 。
but it didn't work that way .	但它並沒有這樣運作 。
it's too riskaverse .	太高風險 。
that's that's not true .	這不是真的 。
well why would i bother doing that ?	為什麼我會這麼做 ?
it's fed by . . .	它是用的 。
and why won't they do that ?	為什麼他們不這麼做 ?
an invitation , a challenge ?	避免 , 一個挑戰嗎 ?
ab: and what month ?	馬:嗯 , 什麼 ?
and finally , dogmatism .	最後 , 宗教主義 。
their rate is about 12 percent .	他們的策略是12% 。
how are you coping with the fear ?	你要如何和恐懼 ?
it's such a beautiful little machine .	這是一個美麗的機器 。
in 1975 , he lost again .	1975年 , 他失去了 。
our experience is where we're from .	我們的經驗是我們從哪裡學到的 。
they're more american than anything else .	它們比其他其他其他美國一樣 。
ok , how about some good news ?	好嗎 ?
gone , gone , gone .	好吧 , 去了 。
so , what is the future of cities ?	那麼 , 城市的未來是什麼 ?
but , like , really crying .	像這樣 , 真的很擔心 。
why did we use that word , science ?	為何我們使用這個字 ?
they showed bloody gums .	他們顯示血管 。
of course this is how americans think .	當然這是美國人認為 。
there are different paradigms .	這裡有不同的規範 。
this is my favorite one .	這是我最喜歡的 。
i believe he is selling hope .	我相信他是愛的希望 。
and we see the mother in every being .	我們看到母親的母親 。
who just turned out the lights ? "	誰會把光放出來 ? 」
well , we got hundreds of ideas .	我們有數百個想法 。
salaam alaikum .	阿拉拉克 。
dr . adam neiman .	喝咖啡 。
it was the most in new york history .	紐約歷史上最棒的歷史 。
madison was astonished .	馬遜是華盛頓 。
it has wonderful properties .	很棒 。
i don't know anything about you .	我不知道你 。
instead , we spend our time talking .	相反 , 我們花了時間來談 。
number three: rally your allies .	第三:是你的身體 。
they were seeing something magical .	他們看到的是數學 。
and yes , we africans can .	是的 , 非洲人可以 。
bmw is a pretty safe car .	貝爾是安全的車子 。
but you know what happened to my country .	但你知道我的國家發生什麼事 。
the children are at the table .	孩子們是可行的 。
now each company handles it different ways .	現在每個公司都一樣 。
we can push through that .	我們可以通過這個 。
they seemed to speak to me .	他們似乎跟我說話 。
it is a biological computer .	它是一個生物電腦電腦電腦 。
we made this game in 2007 .	在2007年 , 我們做了這個遊戲 。
it's cumulative .	它是負責的 。
what would it take to change that ?	什麼會改變 ?
so , that's the system .	所以 , 這是系統 。
somebody else has a design for it .	其他人有設計 。
really expedites the process .	真的很興奮 。
and some came from england .	有些來自英格蘭 。
" please , help me .	「 請我 。
she had to look like a man .	她必須看起來像男人一樣 。
it is a chess game .	它是一個中國遊戲遊戲 。
so it's time for change .	所以 , 改變了 。
or did you get fired up ?	或者嗎 ?
many want to be part of this .	很多想要成為這樣的 。
they cannot prevent this .	他們無法預防這個 。
there were two lines in it .	這裡有兩條線 。
it is also unstable .	這也是不可行的 。
and so was darwin .	所以很害怕 。
there was no way they could win .	他們無法贏得 。
and we get a lot of that .	我們得到了很多 。
why do we want to do this ?	為什麼我們想要做這個 ?
you can use it at ted .	你可以使用它 。
there are two general types .	這裡有兩種生物類型 。
now , here's the story .	現在 , 這是故事 。
but i will do a trial .	但我要做一個試驗 。
it's a ways out still .	這是一個方法 。
his vision was pretty poor .	他的村子非常貧窮 。
a voodoo experiment .	一個革命的實驗 。
you should have started with z .	你應該開始和zzz 。
earth is having a fever .	地球是有沒有 。
why would they cooperate ?	為什麼他們會合作 ?
so it was all about the data .	所以 , 所有資料都都是關於資料 。
i'm only kidding .	我只在玩笑 。
the first step is attention training .	第一個步驟是訓練 。
it wasn't even out yet .	儘管如此 。
it is time to scale this up .	這是時間的規模 。
to me , that represents hope .	對我來說 , 這代表了希望 。
that means we can do it again .	這表示我們能再次做 。
it's not just another day .	不是另一天 。
and i remember the first letter .	我記得第一個字母 。
ks: yay !	克里斯:喔 !
this is the view from the inside .	這是在內部的觀點 。
surfaces can become porous .	表面可以變成很大的 。
maybe some of them are here now .	或許有些人現在在這裡 。
poaching oh , no way .	噢 , 沒辦法 。
some shots go through quickly .	有些鯊魚會很快 。
we still use heparin today .	我們仍然使用他今天的公園 。
sixtyfive . wow .	6歲 。
imagine that you run a cafe .	想像一下 , 你跑了一杯咖啡 。
he went out and did an experiment .	他走出了一個實驗 。
so what the hell was that ?	所以他說什麼 ?
we all have to lead the change .	我們都必須將改變改變 。
zabalaza .	zaaa 。
will he be able to be normal ?	他會很常見嗎 ?
titus was so bitter .	珊瑚很少 。
pay up , because we did it .	沒錯 , 因為我們做了 。
actually , no , there are three .	實際上 , 這裡有三個 。
or even a little bit like this ?	或者說嗎 ?
this is what it looks like .	這看起來像這樣 。
let me tell you who i am .	讓我告訴你們我 。
this is one tough robot .	這是一個機器人 。
you really can make this change happen .	你真的可以做出改變 。
you can be that great generation . "	你可能是很棒的 。 」
you know who else is doing that ?	你們知道誰在做什麼 ?
what would we think of ourselves then ?	我們會想自己呢 ?
maybe you saw discomfort .	或許你看到不舒服 。
so dina , this is amazing .	所以 , dna是很棒的 。
and we need to train them right .	我們需要訓練他們權利 。
as it did in spain .	當它在墨西哥 。
nm: uh , sure .	美國:嗯 , 當然 , 確保 。
and that's a simple question .	這是一個簡單的問題 。
he speaks english .	他說英語 。
and so it should be with us .	所以它應該跟我們一樣 。
the second thing is video games .	第二件事是影片 。
so here is normal speed .	這是正常的 。
there's still time to lead .	仍然有時間領導 。
it was a historical day .	那是他的歷史 。
congratulations .	相反 。
you overcompensate .	你被告知 。
i became a parent .	我變成了公寓 。
idea number three is listening .	第三個是聽覺 。
pretty amazing , huh ?	很棒嗎 ?
what kind of world is this ?	這個世界是什麼 ?
i'm kidding .	我很小孩 。
i document dreams .	我確定夢想 。
we need to believe in ourselves .	我們需要相信自己 。
they were always best in class .	他們總是最好的課堂 。
probably , like , none .	或許 , 沒人 。
how many children did you have ?	你們有多少孩子 ?
but he did have one thing .	但他做了一件事 。
now , they are leaders .	他們是領導者 。
and no one got killed .	沒有人殺死 。
and everyone was doing the same .	每個人都在做同樣的 。
they become building steel .	他們變成建築師 。
now , why does this happen ?	為什麼這會發生呢 ?
i've lost that count .	我失去了數量 。
cities are learning from each other .	城市從彼此學習 。
they don't feel different .	他們不覺得不同 。
it all sounds the same .	所有聲音都一樣 。
that's the key thing .	這是關鍵的關鍵 。
and roger helped me .	羅克協助我 。
and it's pretty simple .	很簡單 。
she's gone . "	她說: 「 嘿 。 」
what percentage of the time ?	什麼時候 ?
they cross over .	牠們的衣服 。
that would be a beautiful thing .	這會是美麗的 。
not very well at all .	完全不好 。
that's actually not true .	這其實不是真的 。
it's a new experience .	這是一個新的經驗 。
this is nine of them .	這是他們 。
so that's our job .	所以這是我們的工作 。
but you can do other things .	但你也可以做其他東西 。
so let's do that .	讓我們做到這一點 。
and lots of people watch .	很多人都看 。
we stop ourselves from doing things .	我們阻止自己做的事 。
the present you is hopeful .	你希望是希望的 。
who do you think you are ?	誰認為你是誰 ?
most parents would find that great .	大部分的父母會發現很棒 。
how do we create public space ?	我們如何創造公共空間 ?
most of them work for companies .	大部分的公司都工作 。
i do , in any case .	我做的 , 在任何案例中 。
who do you run away from ?	誰從 ?
they can cost you a lot .	他們可以賺錢 。
they were very friendly .	他們很友善 。
that leaves this white space .	那個白色空間 。
and almost every state has one .	幾乎每個國家都有一個 。
stop running around starving .	停止星球 。
that plan has worked thanks .	這個植物非常感謝 。
sometimes they agree .	有時他們會跳舞 。
he played . he won .	他玩了 。 他贏了 。
we live in the world together .	我們住在世界各地 。
ca: thank you so much .	克:謝謝你 。
her name i did not know .	她的名字不知 。
it has sensors .	它有秘密 。
i totally lost it .	我完全失去它 。
it's between buildings .	它是建築物 。
they felt empowered .	他們覺得很尷尬 。
what do you bring to it ?	你要做什麼 ?
it's an old idea .	這是一個舊的想法 。
i know they care a lot .	我知道他們在乎 。
five million people have taken it .	五百萬人都拿它 。
" all right . ok . "	「 好吧 ! 」
and you get something like this .	然後你得到類似的東西 。
it was in italy .	它是它的 。
and it has more notes .	更不太多 。
not quite ten percent .	不是很高的 。
" did you hear me ? "	「 你聽我嗎 ? 」
and we are considered less .	我們認為不太少 。
countries are going underwater .	國家會降低 。
which really bothers me .	這真的很聰明 。
and i believe there is .	我相信在那裡 。
that is how we live .	這就是我們生活的 。
because it's easy .	因為它很容易 。
i had to step down .	我必須下步 。
the ocean is everything else .	海洋是其他的 。
that's the end .	那是最後的終點 。
so there we have it .	我們有它 。
we can fly around them .	我們可以飛行 。
now you have another choice .	現在你有另一個選擇 。
this is what we believe .	這是我們相信的 。
how do you even start ?	你怎麼辦 ?
now , something else happened .	現在 , 其他事情發生了 。
here's his solution .	這是他的解決方案 。
that's not true .	這不是真的 。
it's not easy .	這不容易 。
this is seaweed .	這是海灘 。
thank you . thank you .	謝謝 。
he nodded .	他沒有 。
thank you very much .	謝謝 。
that , i am not .	這樣 , 我不是 。
thank you very much .	謝謝 。
i turn around . . .	我轉了 。
thank you very much .	謝謝 。
thank you so much everyone .	謝謝大家 。
here's the first .	這是第一個 。
so that is a fact .	所以這是事實 。
thank you very much .	謝謝 。
your mental health ?	你的心理健康嗎 ?
and we continue to build .	我們繼續建造 。
why ? he made you .	為何 ? 他做了 。
i thought they were fun .	我以為他們有趣 。
for example , personality .	舉例來說 , 個人性 。
sometimes you will trip .	有時你會嘗試 。
again , see number one .	同樣的 , 數字 。
" should we be there ?	「 我們應該有嗎 ?
ella is stuck .	克里斯是停車 。
i never saw his face .	我從未見過他的臉 。
question for you , though .	但你的問題是 。
be us , be we .	我們是 , 我們 。
we have to end this .	我們必須結束 。
more complex interiors .	更複雜 。
there were still fishes .	仍然有魚 。
this week ? last week ?	這個星期嗎 ?
i hope , i believe .	我希望 , 我相信 。
so step one . . .	一步一步 。
where did this all begin ?	這一切都開始 ?
dana: that way .	約翰:這樣 。
we have done it before .	我們已經完成了 。
how do we do that ?	我們怎麼做 ?
and what do you say ?	你說什麼 ?
so curiosity .	所以 , 好奇 。
so what could this mean ?	這樣呢 ?
and we did good . "	我們做了很好 。 」
think about cpr .	想想危機 。
" the business is on .	「 商業是在 。
are we not children ?	我們不是孩子嗎 ?
we married .	我們婚婚了 。
don't tell .	不要告訴你 。
thank you so much .	謝謝 。
but that is great .	但這很棒 。
was that computer music ?	電腦嗎 ?
we all have problems .	我們都有問題 。
so where are they ?	所以他們在哪裡 ?
you can see this .	你可以看見這個 。
it's not .	不是 。
let’s go .	讓我們來吧 。
feeding time .	花時間的時間 。
what would i feel ?	我覺得什麼 ?
pretty good , right ?	很好 , 對吧 ?
the body is political .	身體是政治 。
maybe even deeply .	也許更深刻 。
one was jason .	一位監獄 。
little line down there .	在那邊 , 一條小線 。
we can't .	我們不能 。
it was pretty hard .	很困難 。
make it bigger .	讓它更大 。
my work thanks .	我的工作非常感謝 。
i like being happy .	我喜歡快樂 。
we have both .	我們有兩個 。
there it is .	這裡有了 。
this is important .	這很重要 。
have sex .	有性 。
nothing at all .	沒有任何東西 。
they helped .	他們幫助了 。
they saw everything .	他們看到所有東西 。
it really is .	真的是 。
i made this .	我做了這個 。
doctor: now ?	醫生:現在嗎 ?
but many die .	但很多死亡 。
open up now .	現在 , 開放 。
yes , more .	是的 , 更有趣 。
something stronger ?	好嗎 ?
then another thing .	然後另一件事 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
deny .	肯定 。
grouper ?	組織嗎 ?
fear not .	不要害怕 。
but why ?	但為什麼 ?
hi everybody .	大家都喜歡 。
shy ?	好嗎 ?
you know ?	你知道嗎 ?
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
no .	沒有 。
right ?	對吧 ?
right ?	對吧 ?
right ?	對吧 ?
order .	為了做到 。
right ?	對吧 ?
each and every one of us needs educating .	每個人都需要教育 。
or rather , we get educated out of it .	或者 , 我們收集了它 。
rap , of course , rap freestyle .	當然 , 當然 , 種族自由 。
he loved intellectual battle .	他愛滋病菌 。
arthur samuel knew strategy .	藝術家知道 「 策略 」 。
this wasn't invented recently .	這不是最近的ted 。
and i learned a whole bunch of really interesting stuff .	我學到了一件有趣的東西 。
but journalism isn't dead .	但 , 約翰主義並不被摧毀 。
and so that seemed sufficiently interesting .	這似乎很有趣 。
most of our planet is in eternal darkness .	大部分的地球是黑暗的黑暗 。
so here we're looking from the south , look north .	所以 , 我們從南方看來看看北方 。
so i'd like to think it was a good sign .	所以我想它是一個很好的訊號 。
it's good for improving people's lives .	為了改善人們的生活 。
and so this is something that we should be able to design .	所以這是我們應該要設計的 。
i'm going to give you just two examples today .	我今天要給你們兩個例子 。
but it doesn't happen automatically .	但它並不發生 。
it's not about individual recognition .	這不是關於個人認知 。
but look at all the electrodes around it .	但看看 , 所有電磁器 。
of course , these are extreme examples .	當然 , 這些是極端的例子 。
we've covered purpose already .	我們已經做了了 。
the bridge was far too flexible .	橋樑太多 。
well , what did i do when i was a kid ?	嗯 , 我做了什麼 ?
the same thing happens when you get something spinning .	同樣的事會發生什麼事 。
looked like a ladybug , right ?	看起來像一隻老鼠 , 對吧 ?
this is the storage system that he designed .	這是他設計的理論 。
it can hear , it holds memories .	它可以聽起來 , 它可以聽起來 。
the first pattern always kind of shocked me .	第一個模式總是讓我震驚我 。
what matters is that there are a lot of them .	重要的是 , 有很多 。
scientists tell us that vaccines are safe .	科學家告訴我們疫苗是安全的 。
clouds are blocking the view .	雲雲是把觀點放在觀點 。
but the bubble doesn't last long .	但泡泡不久 。
would you call out your answers , please ?	你將你的答案放棄你的答案嗎 ?
you also have this idea for bicycles .	你也有很多想法 。
now we're talking the potential for real change .	我們現在談到真正改變的潛力 。
that is why millions of people doodle .	這就是為什麼數百萬人做的事 。
i was awakened once during the night .	在晚上 , 一旦晚上 。
it was a really extraordinary moment .	這是一個非常令人興奮的時刻 。
this is a hotel in bolivia .	這是一個很棒的洞穴 。
and bell then goes on to explain to the students .	然後再來解釋學生 。
so here's another few people trying it out .	這裡還有另一個人試圖 。
mentor: he had nowhere to hide .	男士:他現在要愛滋病毒 。
the second lesson i learned is about harmony .	第二次我學到的 。
it's right here , let's use it .	在這裡 , 讓我們用它 。
and he answered me , and it was pretty interesting .	他回答我 , 很有趣 。
and this is doug engelbart .	而這就是教授 。
best of all , images . just a simple image .	最好的 , 影像只是一個簡單的影像 。
but it just isn't changing fast enough .	但它不只是改變 。
and it was the same everywhere . . .	同時 , 每個地方都一樣 。
and this was an inspiration to me .	這是我 。
he said there's just not in demand .	他說 , 不只是在孫子裡 。
compassion is going to be limited .	競爭是限制的 。
they want to do it , too , and they can .	他們想要做這件事 , 而且他們也可以做 。
they cannot deal with multiplicity .	他們無法處理肌肉 。
and i think they’re breathing .	我想他們會呼吸 。
well , the clerks are the computers .	嗯 , 電腦是電腦 。
only the best ones can survive .	只能存活 。
we're even doing this on purpose .	我們甚至在做這件事 。
but hey , we're on ted time .	但他很興奮 , 我們在ted 。
that's not what we're talking about .	這不是我們談談的 。
well there's an answer that many people would give .	嗯 , 很多人會給予 。
i promise , you'll love it .	我很喜歡 , 你會愛它 。
the rebels be rockin' .	黃色是岩石 。
this would be truly incredible .	這會很驚訝 。
we don't have time to waste for that .	我們不需要時間去做 。
so again , that was a real good match .	同樣的 , 這是一個很好的數學 。
that hurts me just to look at .	我只想看 。
what's actually the scope of the problem ?	哪些問題其實是問題 ?
and what you need to do is listen to your body .	你需要做的就是聆聽你的身體 。
but i'm not here to talk about music today .	但今天我不在這裡談音樂 。
we have some serious work still to do .	我們有一些嚴肅的工作 。
this is a worldchanging invention .	這是一個全球革命 。
and he was very , very sorry .	他很抱歉 。
we are the ones who share the stories online .	我們是網站的其中一個故事 。
more money , less drugs . hmm .	更多錢 , 較少的藥物 。
so you go to the doctor and get some tests .	所以你來看看醫生和一些測試 。
new ways of making electric transportation .	新方法的新方法 。
and you should see me during the match .	你應該看我在馬上看到我 。
have you ever been approached by strangers ?	你曾經曾經曾經曾經用陌生人嗎 ?
i mean , i could tell you hundreds of them .	我的意思是 , 我可以告訴你們百分之一 。
how did you make all these people pay for music ? "	你怎麼做 ? 」
of your team , only hedge can fit .	你的團隊 , 只能填補 。
pain is something that can make your life miserable .	疼痛是可以讓你人生的錯誤 。
the potential gains here are enormous .	這裡有潛力 。
and boy , they were like , " what ? why ?	男孩們說: 「 為什麼 ? 」
they put it in albany rather than new york .	他們把它放在紐約 。
and we knew that we were losing co2 .	我們知道 , 我們正在失敗2 。
stairs add enormous drama .	加拿大的乾旱 。
anyone can become a bitcoin miner .	任何人可以變得更聰明 。
i'm not diego rivera or something .	我不是死刑或一些東西 。
this piece could fire a shell every four seconds .	這片片片片可以在四秒鐘 。
but soon we realized we were novices .	但很快 , 我們意識到我們沒有證據 。
in angola or afghanistan .	在阿富汗或阿富汗 。
that's the pantheon next to it .	這是接下來的目標 。
and already today this is 25 , 000 images .	今天已經有25個影像 。
clearly , i need to walk home from ted .	顯然 , 我需要從ted走到ted 。
and perhaps in life , movements get better through learning .	或許在人生中 , 運動變得更好 。
no ? yes ? doesn't matter , it worked .	好嗎 ? 不是嗎 ?
so you're going to miss the earth again .	所以你再次誤解地球 。
i also know what i hope for for our girls .	我也知道我女孩的希望 。
so let's talk for a moment about race .	所以 , 讓我們談談一個時間 。
they didn't want to buy his bread .	他們不想買錢 。
yes , they chose a cartoon , ok ?	是的 , 他們選擇一輛車子 , 好嗎 ?
and someone sits down and draws a picture .	有人坐在下面 , 畫了一張照片 。
i have a prescription for you .	我有預期的預測 。
i basically force people to tell me what they think .	基本上我要告訴大家什麼 。
now the amount of contraction is easy to control .	現在的大規模很容易控制 。
and i had an armored organization at that point .	我有一支隊隊隊 。
and you know what ? it's just the beginning .	你們知道嗎 ?
the net of spies was really broad .	粒子真的很聰明 。
but no vehicles will need oil .	但沒有人需要石油 。
so is every part of her body , for that matter .	所以 , 她的身體都很重要 。
but once you're up , it's great .	但一旦你站起來 , 很棒 。
so i say: share your truths .	所以我說:分享你的真相 。
dna and clinical data is the food .	dna和診斷資料是食物的 。
i would do it all over again if i could . "	我會再次做一次 。 」
i don't think we have to make that choice .	我不認為我們必須做出選擇 。
however , there is ample cause for hope .	然而 , 希望有希望的希望 。
and it is a really weird thing to do .	它是很奇怪的事 。
that's social . let's look at education .	這是社會 。
and what would you do if you knew what i know ?	如果你知道嗎 ?
if not in yours , your children's lives .	如果不在你身上 , 你的孩子生活在你的生命中 。
i thought the looters had stolen everything .	我想 , 大屠殺了所有東西 。
it's perhaps because we expect it to be easy .	或許是因為我們期望很容易 。
but let's back up: what is fat ?	但咱們回來 , 是什麼 ?
everything is about your town , where you live .	一切都是關於你的目標 , 你住在哪裡 。
or maybe you see a topless sunbather .	或許你看到了無線太陽能 。
sk: it's really awful .	克:這是很棒的 。
what did you see there and what did you do there ?	你看到的是哪些 ?
number five: entrepreneurship .	第五:企業家 。
it's beautiful and it's functional .	美麗和功能很有趣 。
i'm trying , i'm trying .	我正在嘗試 , 我正在嘗試 。
it's really pretty remarkable .	真的很聰明 。
now this is statistically impossible .	這其實是不可能的 。
and that is the question we need to ask ourselves .	那就是我們需要問自己 。
because they know that she needs to heal .	因為他們知道她需要他 。
here's a last exercise .	這是最後一個很興奮 。
bf: sevenclub juggling .	克:七十英英里 。
try again . try again: snow .	試試一次 。
and we were able to have a community meeting .	我們能夠有社區遇見 。
a student missed 18 .	18歲的錯誤錯誤 。
and we're just playing here , right ?	我們現在正在玩 , 對吧 ?
i will explain briefly what this is .	我會解釋這就是這樣 。
and it was gut wrenching .	它是猜的 。
i call it my freedom staff .	我稱它為免費 。
and do not believe that that isn't coming .	不是相信這不是從來的 。
albert hands me the knife .	克里斯的手臂讓我的手臂 。
he named it homunculus .	他稱它為 「 幸運 」 。
and so the senate won in the end .	所以最後的秘密會贏得 。
but we also have stars and things as well .	但我們也有很多星球和東西一樣 。
and , of course , bad for me personally .	當然 , 對我來說 , 壞了 。
we were attacking the wrong driver .	我們正在攻擊錯誤的駕駛 。
we dropped the sandwiches .	我們把沙子放到沙子 。
you don't have enough experts .	你沒有足夠的專家 。
but still , i love imagining it .	但仍然 , 我喜歡它 。
geologic process in action here .	這裡的邏輯過程 。
it was even taxdeductible .	它甚至是很糟糕的 。
second is technical assistance .	第二是心理學家 。
look at the client base for this .	看看這個公民的客戶 。
and people would come in and learn more about it .	人們會去學習它 。
it's almost like a reflex .	幾乎是反射性 。
so i'm surprised .	我很驚訝 。
however , there's a catch .	然而 , 這裡有一隻貓 。
what exactly are they experiencing ?	什麼是他們很興奮 ?
heroes like making speeches .	他喜歡花粉 。
and it was a huge success .	它是很大的成功 。
but it doesn't have to be that way .	但它不需要這樣做 。
it's going to be machinereadable .	這將會是機器的 。
i didn't show you how to do that .	我沒有給你們看 。
but humans weren't always like this .	但人類並不喜歡這樣 。
and these are also chemical factories .	這些是化學物質 。
so , i have a strange career .	所以 , 我有一個奇怪的職涯 。
make it go away . make it go away . "	讓它走進 。 」
he said , " it's a what ? "	他說: 「 這是什麼 ? 」
we can actually see a human pulse .	我們實際上可以看到人類的靈魂 。
i'm so sorry to say that .	我很抱歉 。
and then we need to consume less .	然後我們需要重量 。
you've forgotten me forever .	你已經忘記了 。
they are highly unpredictable .	他們很高興 。
" i have a little web design company . "	「 我有個小的公司 。 」
the first is zero tolerance .	首先是零件 。
what percentage do you think switched ?	你想什麼 ?
try and build a political settlement first .	試著建立政治規則 。
we have to tell them that the culture has changed .	我們必須告訴他們文化改變 。
but not all types of movement are allowed .	但不是所有運動的運動都允許了 。
i told you . they'll go there .	我告訴你們 。
this is from a global survey .	這是來自全球的資源 。
tm: are you man enough to be ?	馬:你需要嗎 ?
in india there is a rape every three minutes .	在印度有三分鐘 。
moved to a house near a park .	搬到房間 。
here i am in my fourthgrade class .	這是我四歲的教室 。
we don't do the everything else so well .	我們不這麼做 。
first the a blocks hold themselves in place .	首先把自己放在的地方 。
autonomy was our highest value .	自閉症是最高價值的價值 。
brown people , illegal .	布朗人 , 我收到了法律 。
how could this have gone by like lightning ?	這樣可以從光亮嗎 ?
congo will go from 60 to 120 .	約翰會從120年到10年 。
and that was embarrassing .	這樣很尷尬 。
so she created a support group for parents like her .	所以她創造了一個支持團體的支持 。
it's about cartography .	它是關於汽車 。
i'm going to tell you about that technology .	我要告訴你們科技 。
can we be much more gentle with light ?	我們能更有趣嗎 ?
there are two billion young people between 15 and 30 .	大約有15億個年輕人之間有兩億個年輕人 。
it makes no sense , if you think about it .	它不合理 , 如果你想想它 。
and i will give you several examples .	我會給你們幾個例子 。
they lack even the most basic amenities .	它們甚至是最基本的 。
