i want to leave you with one last thought .	我想要留下最後一個想法 。
i don't know anything about you .	我不知道你們 。
instead , we spend our time talking .	反而 , 我們花了時間談話 。
number three: rally your allies .	第三:把你的全部 。
they were seeing something magical .	他們看到一些魔術 。
and yes , we africans can .	沒錯 , 我們非洲人可以 。
bmw is a pretty safe car .	bw是非常安全的汽車 。
but you know what happened to my country .	但你知道我的國家發生了什麼事 。
the children are at the table .	孩子在桌子上 。
now each company handles it different ways .	現在每個公司都有不同的方式 。
we can push through that .	我們可以把這張圖翻譯出來 。
they seemed to speak to me .	他們似乎對我說話 。
it is a biological computer .	這是生物電腦 。
we made this game in 2007 .	我們在2007年做了這個遊戲 。
it's cumulative .	這是消費者 。
what would it take to change that ?	那會如何改變呢 ?
so , that's the system .	這就是系統 。
somebody else has a design for it .	有些人有設計 。
really expedites the process .	真的除了這個過程 。
and some came from england .	有些來自英國 。
" please , help me .	「 請幫我 。
she had to look like a man .	她必須看起來像一個男人 。
it is a chess game .	這是一個棋盤 。
so it's time for change .	所以它是改變的 。
or did you get fired up ?	或是你會被火掉嗎 ?
many want to be part of this .	很多人想要成為這個 。
they cannot prevent this .	他們無法預防這件事 。
there were two lines in it .	其中有兩條線 。
it is also unstable .	這也是不可思議 。
and so was darwin .	所以那是丹麥 。
there was no way they could win .	他們沒有辦法贏 。
and we get a lot of that .	我們得到很多 。
why do we want to do this ?	為什麼我們想要這麼做 ?
you can use it at ted .	你可以在ted使用它 。
there are two general types .	有兩種類型 。
now , here's the story .	現在 , 這是故事 。
but i will do a trial .	但我會做個試驗 。
it's a ways out still .	這是一個方法 。
his vision was pretty poor .	他的視角很窮 。
a voodoo experiment .	一個投票實驗 。
you should have started with z .	你應該從zs開始 。
earth is having a fever .	地球有一無所可思議 。
why would they cooperate ?	為什麼他們會合作 ?
so it was all about the data .	所以 , 這一切都是關於資料的 。
i'm only kidding .	我只是玩笑 。
the first step is attention training .	第一步是注意力訓練 。
it wasn't even out yet .	這還還還沒有 。
it is time to scale this up .	它是時候要擴展 。
to me , that represents hope .	對我來說 , 這代表了希望 。
that means we can do it again .	這表示我們可以再做一次 。
it's not just another day .	不只是一天 。
and i remember the first letter .	我記得第一封信 。
ks: yay !	ka:yy !
this is the view from the inside .	這是從內部的觀點來看 。
surfaces can become porous .	表面很大 。
maybe some of them are here now .	也許有些人現在在這裡 。
poaching oh , no way .	把喔 , 沒辦法 。
some shots go through quickly .	有些拍攝的照片會快轉 。
we still use heparin today .	我們現在仍在使用公園 。
sixtyfive . wow .	65歲 。
imagine that you run a cafe .	想像一下 , 你跑了一隻貓 。
he went out and did an experiment .	他去了一個實驗 。
so what the hell was that ?	那麼 , 那會是什麼 ?
we all have to lead the change .	我們都必須領袖改變 。
zabalaza .	zaza 。
will he be able to be normal ?	他會是正常的嗎 ?
titus was so bitter .	組織有點糟糕 。
pay up , because we did it .	付錢 , 因為我們做到了 。
actually , no , there are three .	其實 , 這裡有三個 。
or even a little bit like this ?	甚至有點像這樣嗎 ?
this is what it looks like .	這是它的樣子 。
let me tell you who i am .	讓我告訴你我是誰 。
this is one tough robot .	這是一個艱難的機器人 。
you really can make this change happen .	你真的能做出改變 。
you can be that great generation . "	你能成為那個偉大的世代 。 」
you know who else is doing that ?	你知道誰在做這件事 ?
what would we think of ourselves then ?	我們會怎麼想 ?
maybe you saw discomfort .	也許你看到舒適 。
so dina , this is amazing .	所以 , 這真是令人驚訝 。
and we need to train them right .	我們必須訓練它們 。
as it did in spain .	當它在西班牙做過 。
nm: uh , sure .	n:美國 , 當然 。
and that's a simple question .	這是一個簡單的問題 。
he speaks english .	他說英語 。
and so it should be with us .	所以它應該跟我們一起 。
the second thing is video games .	第二件事是電玩遊戲 。
so here is normal speed .	所以這是正常的速度 。
there's still time to lead .	還是有時間來領導 。
it was a historical day .	那是歷史的日子 。
congratulations .	恭喜 。
you overcompensate .	你越多了 。
i became a parent .	我成為一個父母 。
idea number three is listening .	想法第三是傾聽 。
pretty amazing , huh ?	很棒嗎 ?
what kind of world is this ?	這個世界是什麼 ?
i'm kidding .	我很高興 。
i document dreams .	我做記錄夢想 。
we need to believe in ourselves .	我們必須相信自己 。
they were always best in class .	他們總是在課堂上最佳 。
probably , like , none .	或許 , 不要 。
how many children did you have ?	你有多少孩子 ?
but he did have one thing .	但他做了一件事 。
now , they are leaders .	他們是領導者 。
and no one got killed .	沒有人殺死 。
and everyone was doing the same .	每個人都在做同樣的事 。
they become building steel .	他們變成了鋼鐵 。
now , why does this happen ?	那麼 , 為什麼這會發生 ?
i've lost that count .	我已經失去了這個數字 。
cities are learning from each other .	城市是從彼此學習 。
they don't feel different .	他們不覺得不同 。
it all sounds the same .	聽起來都一樣 。
that's the key thing .	這就是關鍵 。
and roger helped me .	羅馬協助我 。
and it's pretty simple .	這真的很簡單 。
she's gone . "	她說: 「
what percentage of the time ?	什麼時候呢 ?
they cross over .	他們會跨越 。
that would be a beautiful thing .	那會是一件美麗的事 。
not very well at all .	完全不太好 。
that's actually not true .	這其實不是真的 。
it's a new experience .	這是一個新的經驗 。
this is nine of them .	這是其中九個 。
so that's our job .	這就是我們的工作 。
but you can do other things .	但你可以做其他的事情 。
so let's do that .	咱們來做這件事 。
and lots of people watch .	很多人都看過 。
we stop ourselves from doing things .	我們停止做事 。
the present you is hopeful .	你現在有希望 。
who do you think you are ?	你認為你是誰 ?
most parents would find that great .	大部分的父母會發現這很棒 。
how do we create public space ?	我們如何創造公共空間 ?
most of them work for companies .	他們大部分都為公司工作 。
i do , in any case .	在任何情況下 ,
who do you run away from ?	你從哪裡走出來 ?
they can cost you a lot .	他們可以花很多錢 。
they were very friendly .	他們非常友善 。
that leaves this white space .	這張白色空間 。
and almost every state has one .	幾乎每個州都有一個 。
stop running around starving .	停止繞著星球 。
that plan has worked thanks .	這計畫有用感謝 。
sometimes they agree .	有時他們會同意 。
he played . he won .	他玩了 。 他贏了 。
we live in the world together .	我們在世界各地生活 。
ca: thank you so much .	克里斯:非常謝謝 。
her name i did not know .	她不知道 。
it has sensors .	它有感應器 。
i totally lost it .	我完全失去了 。
it's between buildings .	它是建築之間的 。
they felt empowered .	他們覺得很尷尬 。
what do you bring to it ?	你要把它帶到哪裡 ?
it's an old idea .	這是個古老的想法 。
i know they care a lot .	我知道他們在乎很多 。
five million people have taken it .	五百萬人拍攝 。
" all right . ok . "	「 好 。 」
and you get something like this .	然後你就這樣做 。
it was in italy .	它幾乎是這樣 。
and it has more notes .	它有更多的捐贈 。
not quite ten percent .	不是很高的百分之十
" did you hear me ? "	「 你聽到我嗎 ? 」
and we are considered less .	我們覺得比較少 。
countries are going underwater .	國家在水底下降 。
which really bothers me .	這真的讓我兩者 。
and i believe there is .	我相信這裡有 。
that is how we live .	這就是我們生活的方式 。
because it's easy .	因為它很容易 。
i had to step down .	我必須走下去 。
the ocean is everything else .	海洋是其他的 。
that's the end .	這是最後的 。
so there we have it .	所以 , 我們有了 。
we can fly around them .	我們可以飛過它們 。
now you have another choice .	現在你有另一個選擇 。
this is what we believe .	這是我們所相信的 。
how do you even start ?	你如何開始呢 ?
now , something else happened .	有些事情發生了 。
here's his solution .	這是他的解決方法 。
that's not true .	這不是真的 。
it's not easy .	這不容易 。
this is seaweed .	這是海浪 。
thank you . thank you .	謝謝 。
he nodded .	他沒有 。
thank you very much .	非常謝謝 。
that , i am not .	我不是 。
thank you very much .	非常謝謝 。
i turn around . . .	我翻轉了 。
thank you very much .	非常謝謝 。
thank you so much everyone .	非常謝謝大家 。
here's the first .	這是第一個 。
so that is a fact .	所以這是事實 。
thank you very much .	非常謝謝 。
your mental health ?	你的心理健康嗎 ?
and we continue to build .	我們繼續建造 。
why ? he made you .	為什麼 ? 他把你做成 。
i thought they were fun .	我覺得他們很有趣 。
for example , personality .	比如 , 個人性 。
sometimes you will trip .	有時候你會嘗試 。
again , see number one .	同樣地 , 看到一個數字 。
" should we be there ?	「 我們應該在那裡嗎 ?
ella is stuck .	伊拉是卡車 。
i never saw his face .	我從來沒有看到他的臉 。
question for you , though .	不過 , 請你問你 。
be us , be we .	是我們的 。
we have to end this .	我們必須結束 。
more complex interiors .	更複雜的介紹 。
there were still fishes .	還是有魚 。
this week ? last week ?	這星期嗎 ?
i hope , i believe .	我希望 ,
so step one . . .	一步 。
where did this all begin ?	這一切從哪裡開始 ?
dana: that way .	大衛:這樣 。
we have done it before .	我們已經做過 。
how do we do that ?	我們要怎麼做 ?
and what do you say ?	你說什麼 ?
so curiosity .	好奇心 。
so what could this mean ?	所以 , 這意味著什麼 ?
and we did good . "	我們做了好事 。 」
think about cpr .	想想cr.
" the business is on .	「 商業在上 。
are we not children ?	我們不是孩子 ?
we married .	我們婚了 。
don't tell .	不要說 。
thank you so much .	非常謝謝 。
but that is great .	但這很棒 。
was that computer music ?	那台電腦音樂嗎 ?
we all have problems .	我們都有問題 。
so where are they ?	所以他們在哪裡 ?
you can see this .	你可以看到這個 。
it's not .	這不是 。
let’s go .	讓我們來看看 。
feeding time .	餵飽時間 。
what would i feel ?	我會覺得什麼 ?
pretty good , right ?	好嗎 ?
the body is political .	身體是政治 。
maybe even deeply .	也許更深 。
one was jason .	其中一位是監獄 。
little line down there .	小線下去 。
we can't .	我們不能 。
it was pretty hard .	這真的很困難 。
make it bigger .	讓它更大 。
my work thanks .	我的工作感謝 。
i like being happy .	我喜歡快樂 。
we have both .	我們有兩個 。
there it is .	這裡有 。
this is important .	這是很重要的 。
have sex .	性別有性 。
nothing at all .	一切都沒有 。
they helped .	他們協助 。
they saw everything .	他們看到一切 。
it really is .	它真的是 。
i made this .	我做了這個 。
doctor: now ?	醫生:現在嗎 ?
but many die .	但很多死了 。
open up now .	現在開放了 。
yes , more .	是的 , 更多 。
something stronger ?	有些更強壯嗎 ?
then another thing .	另外一件事 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
deny .	肯定 。
grouper ?	團體嗎 ?
fear not .	恐懼不是 。
but why ?	但為什麼 ?
hi everybody .	嗨 。
shy ?	好嗎 ?
you know ?	你知道嗎 ?
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
thank you .	謝謝 。
no .	不 。
right ?	對吧 ?
right ?	對吧 ?
right ?	對吧 ?
order .	秩序 。
right ?	對吧 ?
each and every one of us needs educating .	我們每一個人都需要教育 。
or rather , we get educated out of it .	反而 , 我們被教育出來 。
rap , of course , rap freestyle .	當然 , 雷射自由 。
he loved intellectual battle .	他喜歡智慧球 。
arthur samuel knew strategy .	藝術家知道策略 。
this wasn't invented recently .	這不是最近的發明 。
and i learned a whole bunch of really interesting stuff .	我學到了一整件有趣的東西 。
but journalism isn't dead .	但記者並不是死 。
and so that seemed sufficiently interesting .	這似乎很有趣 。
most of our planet is in eternal darkness .	我們的地球大部分的星球都是黑暗 。
so here we're looking from the south , look north .	所以 , 我們從南方看 , 看看北方 。
so i'd like to think it was a good sign .	所以我想要認為這是一個很好的信號 。
it's good for improving people's lives .	改善人們的生活 。
and so this is something that we should be able to design .	所以這是我們應該設計的 。
i'm going to give you just two examples today .	我今天要給你們兩個例子 。
but it doesn't happen automatically .	但它不會自動化 。
it's not about individual recognition .	這不是個人認知 。
but look at all the electrodes around it .	但看看它周圍的電池 。
of course , these are extreme examples .	當然 , 這些是極端的例子 。
we've covered purpose already .	我們已經完成的目的 。
the bridge was far too flexible .	橋樑太多了 。
well , what did i do when i was a kid ?	當我還是個孩子時 , 我在做什麼 ?
the same thing happens when you get something spinning .	同一件事發生了同樣的事 。
looked like a ladybug , right ?	看起來像個女士 , 對吧 ?
this is the storage system that he designed .	這是他設計的階段 。
it can hear , it holds memories .	它可以聽見 , 它有記憶 。
the first pattern always kind of shocked me .	第一個模式總是讓我震驚 。
what matters is that there are a lot of them .	重要的是 , 有很多人 。
scientists tell us that vaccines are safe .	科學家告訴我們疫苗安全 。
clouds are blocking the view .	雲朵是停止視角 。
but the bubble doesn't last long .	但泡不久 。
would you call out your answers , please ?	你會叫你的答案 , 請問嗎 ?
you also have this idea for bicycles .	你也有這個想法 。
now we're talking the potential for real change .	我們現在正在談真正改變的潛力 。
that is why millions of people doodle .	這就是為什麼數百萬人 。
i was awakened once during the night .	我在晚上醒來 。
it was a really extraordinary moment .	這是個很大的時刻 。
this is a hotel in bolivia .	這是波利亞 。
and bell then goes on to explain to the students .	然後 , 再來看看學生 。
so here's another few people trying it out .	所以這裡有幾個人試圖 。
mentor: he had nowhere to hide .	提姆:他現在要躲藏 。
the second lesson i learned is about harmony .	我學到的第二課 。
it's right here , let's use it .	是的 , 讓我們用它 。
and he answered me , and it was pretty interesting .	他回答了我 , 這真的很有趣 。
and this is doug engelbart .	這真的很艱難 。
best of all , images . just a simple image .	最好的 , 影像 , 只是一個簡單的圖片 。
but it just isn't changing fast enough .	但它不夠快 。
and it was the same everywhere . . .	這也是每個地方 。
and this was an inspiration to me .	這對我來說是個啟發 。
he said there's just not in demand .	他說 , 他說 , 根本不存在 。
compassion is going to be limited .	同情心會被限制 。
they want to do it , too , and they can .	他們也想做到 , 而且他們能做到 。
they cannot deal with multiplicity .	他們無法處理肌肉 。
and i think they’re breathing .	我認為他們是呼吸 。
well , the clerks are the computers .	臨床人員是電腦 。
only the best ones can survive .	唯一能存活 。
we're even doing this on purpose .	我們甚至在目的上做這件事 。
but hey , we're on ted time .	但 , 我們一直在ted 。
that's not what we're talking about .	這不是我們談的 。
well there's an answer that many people would give .	有很多人會給予 。
i promise , you'll love it .	我保證 , 你會愛 。
the rebels be rockin' .	燃料是岩石的 。
this would be truly incredible .	這真的很令人驚訝 。
we don't have time to waste for that .	我們不需要花時間去做這件事 。
so again , that was a real good match .	所以 , 這真是很好的數學 。
that hurts me just to look at .	我只是看著我 。
what's actually the scope of the problem ?	真正的問題是什麼 ?
and what you need to do is listen to your body .	你需要做的是傾聽你的身體 。
but i'm not here to talk about music today .	但今天我不是來談音樂 。
we have some serious work still to do .	我們還有一些嚴重的工作 。
this is a worldchanging invention .	這是一個轉變的世界 。
and he was very , very sorry .	他非常抱歉 。
we are the ones who share the stories online .	我們是網路上分享的故事 。
more money , less drugs . hmm .	更多的錢 , 較少 。
so you go to the doctor and get some tests .	所以 , 你去醫生 , 拿到一些測試 。
new ways of making electric transportation .	創造電力的新方法 。
and you should see me during the match .	你應該在馬上看到我 。
have you ever been approached by strangers ?	你有沒有辦法接觸陌生人 ?
i mean , i could tell you hundreds of them .	我的意思是 , 我可以告訴你們數百個 。
how did you make all these people pay for music ? "	你要如何讓這些人付出音樂 ? 」
of your team , only hedge can fit .	你的團隊只能填補 。
pain is something that can make your life miserable .	疼痛可以讓你的人生變得更糟 。
the potential gains here are enormous .	潛力的潛力是非常大的 。
and boy , they were like , " what ? why ?	男孩們說: 「 為什麼 ?
they put it in albany rather than new york .	他們把它放在亞伯利亞 , 而不是紐約 。
and we knew that we were losing co2 .	我們知道我們在失去二氧化碳 。
stairs add enormous drama .	穩定加上巨大的戲劇 。
anyone can become a bitcoin miner .	任何人都能變得更少 。
i'm not diego rivera or something .	我不是死去或某個東西 。
this piece could fire a shell every four seconds .	這片片片片片片每四秒都會消失 。
but soon we realized we were novices .	但很快 , 我們意識到我們沒有證據 。
in angola or afghanistan .	在阿富汗或阿富汗 。
that's the pantheon next to it .	這是下一個路徑 。
and already today this is 25 , 000 images .	現在已經有25萬張照片 。
clearly , i need to walk home from ted .	顯然 , 我需要從ted走回家 。
and perhaps in life , movements get better through learning .	也許在生命中 , 運動會變得更好 。
no ? yes ? doesn't matter , it worked .	不是嗎 ? 沒關係 , 它是有效的 。
so you're going to miss the earth again .	所以你會再次失去地球 。
i also know what i hope for for our girls .	我也知道我希望為我們的女兒做什麼 。
so let's talk for a moment about race .	所以 , 讓我們來談種族 。
they didn't want to buy his bread .	他們不想買他的麵包 。
yes , they chose a cartoon , ok ?	是的 , 他們選擇一張漫畫 , 好嗎 ?
and someone sits down and draws a picture .	有人坐在下面 , 然後畫一張照片 。
i have a prescription for you .	我對你們來說有個假設 。
i basically force people to tell me what they think .	我基本上讓大家知道他們的想法 。
now the amount of contraction is easy to control .	傳統的數量很容易控制 。
and i had an armored organization at that point .	當時我有一個軍隊組織 。
and you know what ? it's just the beginning .	你知道嗎 ? 這只是開始 。
the net of spies was really broad .	春天的鄰居真的很聰明 。
but no vehicles will need oil .	但不需要石油 。
so is every part of her body , for that matter .	所以 , 她的身體每一部分都很重要 。
but once you're up , it's great .	但 , 一旦你走上 , 它很棒 。
so i say: share your truths .	所以我說:分享你的真相 。
dna and clinical data is the food .	dna和臨床資料是食物 。
i would do it all over again if i could . "	如果我能再做一次 。 」
i don't think we have to make that choice .	我不認為我們必須做出選擇 。
however , there is ample cause for hope .	然而 , 會有希望 。
and it is a really weird thing to do .	這真的很奇怪 。
that's social . let's look at education .	這就是社會 。 讓我們看看教育 。
and what would you do if you knew what i know ?	如果你知道我知道嗎 ?
if not in yours , your children's lives .	如果不在你身上 , 你的孩子的生活 。
i thought the looters had stolen everything .	我覺得 , 洛杉磯有一件蠢事 。
it's perhaps because we expect it to be easy .	也許是因為我們期待它很簡單 。
but let's back up: what is fat ?	但 , 讓我們回到:脂肪是什麼 ?
everything is about your town , where you live .	所有你生活的地方都是你所居住的地方 。
or maybe you see a topless sunbather .	或許你看到一個無線的太陽球員 。
sk: it's really awful .	克:這真的很糟 。
what did you see there and what did you do there ?	你看到了什麼 ?
number five: entrepreneurship .	第五:企業家 。
it's beautiful and it's functional .	它很美麗 , 它是功能 。
i'm trying , i'm trying .	我正在嘗試 。
it's really pretty remarkable .	這真的很令人驚訝 。
now this is statistically impossible .	這數字是不可能的 。
and that is the question we need to ask ourselves .	我們必須問自己的問題 。
because they know that she needs to heal .	因為他們知道她必須要治癒 。
here's a last exercise .	這是最後一個更進一步 。
bf: sevenclub juggling .	bf:7個結婚 。
try again . try again: snow .	試試試一次 , 試試試一次 。
and we were able to have a community meeting .	我們能有社區會議 。
a student missed 18 .	一位學生錯了18歲 。
and we're just playing here , right ?	我們只是在演奏 , 對吧 ?
i will explain briefly what this is .	我將要簡短說明這是什麼 。
and it was gut wrenching .	它是槍擊 。
i call it my freedom staff .	我稱之為我的自由壓力 。
and do not believe that that isn't coming .	不要相信那不是彗星 。
albert hands me the knife .	阿拉伯手我 。
he named it homunculus .	他稱它為 「 熱泉 」 。
and so the senate won in the end .	所以 , 秘密贏得了 。
but we also have stars and things as well .	但我們也有恆星和事物 。
and , of course , bad for me personally .	當然 , 對我來說 , 很糟糕 。
we were attacking the wrong driver .	我們正在攻擊錯誤駕駛 。
we dropped the sandwiches .	我們把沙子拆掉 。
you don't have enough experts .	你沒有足夠專家 。
but still , i love imagining it .	但是 , 我很喜歡我 。
geologic process in action here .	這裡的地理過程 。
it was even taxdeductible .	這甚至是可怕的 。
second is technical assistance .	第二是科技的抗議 。
look at the client base for this .	看看這張客戶 。
and people would come in and learn more about it .	人們會來學習更多 。
it's almost like a reflex .	這就像是反射 。
so i'm surprised .	所以我很驚訝 。
however , there's a catch .	然而 , 有一隻貓 。
what exactly are they experiencing ?	他們在做什麼 ?
heroes like making speeches .	英雄喜歡做蜘蛛 。
and it was a huge success .	這是個很大的成功 。
but it doesn't have to be that way .	但不需要這樣做 。
it's going to be machinereadable .	它將會是機器穩定的 。
i didn't show you how to do that .	我沒有給你們看 ,
but humans weren't always like this .	但人類並非如此 。
and these are also chemical factories .	這些也是化學工廠 。
so , i have a strange career .	所以我有個奇怪的職涯 。
make it go away . make it go away . "	把它丟掉 , 把它丟掉 。 」
he said , " it's a what ? "	他說: 「 這是什麼 ? 」
we can actually see a human pulse .	我們可以看到人類的靈感 。
i'm so sorry to say that .	我很抱歉 。
and then we need to consume less .	然後我們必須消費更多 。
you've forgotten me forever .	你一直忘記我 。
they are highly unpredictable .	他們很不可思議 。
" i have a little web design company . "	「 我有一個小網站設計公司 。 」
the first is zero tolerance .	首先是零件 。
what percentage do you think switched ?	你覺得瑞典是什麼 ?
try and build a political settlement first .	試圖建造一個政治設備 。
we have to tell them that the culture has changed .	我們必須告訴他們 , 文化已經改變了 。
but not all types of movement are allowed .	但並非所有運動都允許 。
i told you . they'll go there .	我告訴你們 , 他們會去那裡 。
this is from a global survey .	這是來自全球資源 。
tm: are you man enough to be ?	m:你夠男人嗎 ?
in india there is a rape every three minutes .	在印度有三分鐘 。
moved to a house near a park .	搬到一個公園 。
here i am in my fourthgrade class .	這是我四年級級的課程 。
we don't do the everything else so well .	我們不這樣做 。
first the a blocks hold themselves in place .	首先 , 阻擋了自己的地方 。
autonomy was our highest value .	自閉症是我們最高價值的價值 。
brown people , illegal .	布朗人 , 非法的人 。
how could this have gone by like lightning ?	這會如何通過像燈光呢 ?
congo will go from 60 to 120 .	歐盟會從60到120年到1.
and that was embarrassing .	這真的很尷尬 。
